"","G","A","RepoUrl","Dataset","Cloned","LastCommitDate","Commits","Branches","Tags","Committers","CommitID","RootPOM","Compile","Test1","Tests","Test2"
"70","docker-java","docker-java","https://github.com/docker-java/docker-java.git","test","true","MonDec916:27:172019+0100",2019,1,62,227,"fa0a69a3dbee6a940a21e77e6868ac95f7fbd660","true","true","true",231,"true"
"71","donhac","optimus-archetype-java","https://github.com/donhac/optimus-archetype-java.git","test","true","MonJul911:49:502018+0800",20,1,0,3,"5e41de673ac8539bffb942310f6fc2fd693a961b","true","true","true",0,"true"
"72","downgoon","jresty","https://github.com/downgoon/jresty.git","test","true","TueSep518:56:402017+0800",27,1,1,1,"d6e59bbde1e0f3431f22e447ae01d19282131f7f","true","true","false",NA,NA
"73","Dromara","soul","https://github.com/Dromara/soul.git","test","true","WedDec1114:52:182019+0800",416,1,4,26,"1bce7c39a201d6bf7a08df119636ddecc142da00","true","true","true",0,"true"
"74","druid-io","druid","https://github.com/druid-io/druid.git","test","true","TueDec1017:26:132019-0800",11110,1,438,458,"5c2b30795e06ea97d08bc27b1c4d10914f7b6396","true","true","false",NA,NA
"75","dukeboard","kevoree","https://github.com/dukeboard/kevoree.git","test","true","TueSep1916:26:232017+0200",4512,1,93,39,"1c62fdf6fb58b883934c2aecd816db06eb9e5b1f","true","true","false",NA,NA
"76","eclipse","dirigible","https://github.com/eclipse/dirigible.git","test","true","SatDec710:41:552019+0200",2907,1,28,38,"043699cff4de8c2bd77e59e08f3957c3f25dbf58","true","true","false",NA,NA
"77","eclipse","rdf4j","https://github.com/eclipse/rdf4j.git","test","true","WedDec1108:44:002019+1100",3263,1,58,56,"6b679c5d603b35a14f141157eb6bb7423ed4d8ea","true","true","true",0,"true"
"78","eclipse","rdf4j","https://github.com/eclipse/rdf4j.git","test","true","WedDec1108:44:002019+1100",3263,1,58,56,"6b679c5d603b35a14f141157eb6bb7423ed4d8ea","true","true","true",0,"true"
"79","eclipse","rdf4j-tools","https://github.com/eclipse/rdf4j-tools.git","test","true","MonAug2621:37:322019+1000",1505,1,52,32,"9128b4aeac82edc46f7cccda58d37954e14e6120","true","true","true",0,"true"
"80","eclipse-vertx","vertx-sql-client","https://github.com/eclipse-vertx/vertx-sql-client.git","test","true","ThuDec516:43:192019+0100",1120,1,33,30,"d1a534ab99770aa72d254aa6e3446529d6a4618c","true","true","false",NA,NA
"81","eitan101","Archetypes","https://github.com/eitan101/Archetypes.git","test","true","ThuFeb1514:45:482018+0200",5,1,0,1,"825f58ecdc839d88d8bb89c99601f506ac0adf8c","true","true","true",0,"true"
"82","elan-venture","virtualan","https://github.com/elan-venture/virtualan.git","test","true","TueSep2423:00:472019-0500",140,1,7,6,"99e8176a0714b2f73dc0025c97ba2e1951175e12","true","true","true",0,"true"
"83","erudika","para-dao-cassandra","https://github.com/erudika/para-dao-cassandra.git","test","true","TueNov518:34:522019+0200",100,1,24,2,"d8d8358b3183381b61e956f69828575a54c21556","true","true","true",0,"true"
"84","erudika","para-dao-mongodb","https://github.com/erudika/para-dao-mongodb.git","test","true","FriNov123:13:242019+0200",135,1,26,5,"f81026e40bbdd1700dd9cce6b37eddde86fa61e3","true","true","true",0,"true"
"85","erudika","para-dao-sql","https://github.com/erudika/para-dao-sql.git","test","true","WedNov1301:57:342019+0200",89,1,15,2,"3f4237519d4dcd8dd8be3a9447fb49346e340e4f","true","true","true",0,"true"
"86","erudika","para-search-elasticsearch","https://github.com/erudika/para-search-elasticsearch.git","test","true","WedOct3014:53:482019+0200",192,1,27,3,"c5652bfb1eac4d07e9f6f0ffa7f3b23ea9fdaa4f","true","true","true",0,"true"
"87","erudika","para-search-elasticsearch-v5","https://github.com/erudika/para-search-elasticsearch-v5.git","test","true","SunNov1017:46:582019+0200",75,1,10,2,"1cfbfcd1d9c8ddfd0c12560bd52b5288a9db1b86","true","true","true",0,"true"
